store_name,state,store_id,category,week_end_date,sales,price,base_price,feature,display,tpr_only
HAMILTON,OH,25021,FROZEN PIZZA,14-janv-09,1223.45,5.26,5.61,0.33,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,21-janv-09,1230.86,5.26,5.61,0.33,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,28-janv-09,1185.61,5.05,5.34,0.43,0.29,0
HAMILTON,OH,25021,FROZEN PIZZA,04-mars-09,611.37,4.89,4.89,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,11-mars-09,1299.78,4.83,5.62,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,18-mars-09,1335.82,4.81,5.61,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,25-mars-09,948.44,4.81,5.61,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,02-sept-09,1134.89,5.33,5.9,0,0.33,0.22
HAMILTON,OH,25021,FROZEN PIZZA,09-sept-09,791.54,6.01,6.16,0,0,0.11
HAMILTON,OH,25021,FROZEN PIZZA,16-sept-09,718.32,6.24,6.24,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,23-sept-09,1695.09,5.04,6.27,0.5,0.33,0
HAMILTON,OH,25021,FROZEN PIZZA,30-sept-09,1404.28,5.42,6.26,0.33,0.33,0
HAMILTON,OH,25021,FROZEN PIZZA,07-oct-09,1520.7,5.19,6.45,0,0.5,0
HAMILTON,OH,25021,FROZEN PIZZA,14-oct-09,1590.72,4.73,6.15,0.33,0.11,0.44
HAMILTON,OH,25021,FROZEN PIZZA,21-oct-09,1054.08,5.58,6.1,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,28-oct-09,703.35,6.09,6.09,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,04-nov-09,612.48,6.09,6.09,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,11-nov-09,812.19,6.08,6.08,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,18-nov-09,1304.5,5.54,6.29,0.38,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,25-nov-09,1233.46,5.31,6.05,0,0.25,0.13
HAMILTON,OH,25021,FROZEN PIZZA,06-janv-10,2274.35,4.65,6.07,0.67,0.44,0
HAMILTON,OH,25021,FROZEN PIZZA,13-janv-10,1947.52,4.66,6.07,0.33,0.22,0.22
HAMILTON,OH,25021,FROZEN PIZZA,20-janv-10,1125.24,5.29,6.07,0,0.11,0.33
HAMILTON,OH,25021,FROZEN PIZZA,27-janv-10,1088.28,5.28,6.14,0.43,0,0
HAMILTON,OH,25021,FROZEN PIZZA,03-mars-10,957.22,5.45,5.99,0.33,0,0.22
HAMILTON,OH,25021,FROZEN PIZZA,10-mars-10,1752.15,5.14,6.07,0.38,0.13,0
HAMILTON,OH,25021,FROZEN PIZZA,17-mars-10,1180.81,4.52,6.36,0.75,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,24-mars-10,1564.03,5.27,6.2,0.38,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,31-mars-10,1544.56,5.23,6.07,0.33,0.22,0
HAMILTON,OH,25021,FROZEN PIZZA,01-sept-10,1036.77,5.04,5.71,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,08-sept-10,1439.27,5.26,5.86,0,0.3,0
HAMILTON,OH,25021,FROZEN PIZZA,15-sept-10,1171.69,5.27,5.87,0,0.1,0.2
HAMILTON,OH,25021,FROZEN PIZZA,22-sept-10,1389.58,5.2,5.98,0.33,0.33,0.11
HAMILTON,OH,25021,FROZEN PIZZA,29-sept-10,1149.67,4.58,5.97,0.3,0.3,0.4
HAMILTON,OH,25021,FROZEN PIZZA,06-oct-10,1466.04,4.5,5.97,0.3,0.2,0.6
HAMILTON,OH,25021,FROZEN PIZZA,13-oct-10,1838.64,4.93,5.88,0.3,0.1,0.3
HAMILTON,OH,25021,FROZEN PIZZA,20-oct-10,1639.75,4.52,5.75,0.38,0.25,0.38
HAMILTON,OH,25021,FROZEN PIZZA,27-oct-10,1329.19,5.11,5.98,0.27,0.45,0.27
HAMILTON,OH,25021,FROZEN PIZZA,03-nov-10,1152.04,5.11,5.88,0.27,0.18,0.18
HAMILTON,OH,25021,FROZEN PIZZA,10-nov-10,1150.49,5.62,5.76,0,0,0.22
HAMILTON,OH,25021,FROZEN PIZZA,17-nov-10,894.84,5.66,5.66,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,24-nov-10,1223.13,5.02,5.58,0.38,0,0
HAMILTON,OH,25021,FROZEN PIZZA,05-janv-11,1098.12,5.67,5.67,0,0.3,0
HAMILTON,OH,25021,FROZEN PIZZA,12-janv-11,1707.27,5.59,5.59,0,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,19-janv-11,1059.59,5.73,6.31,0,0.18,0.09
HAMILTON,OH,25021,FROZEN PIZZA,26-janv-11,693.42,5.54,6.36,0.38,0,0
HAMILTON,OH,25021,FROZEN PIZZA,02-mars-11,1143.23,5.72,6.28,0,0,0.3
HAMILTON,OH,25021,FROZEN PIZZA,09-mars-11,2013.08,5.21,6.37,0.3,0.3,0.3
HAMILTON,OH,25021,FROZEN PIZZA,16-mars-11,1770.16,5.16,6.32,0.3,0.3,0.3
HAMILTON,OH,25021,FROZEN PIZZA,23-mars-11,1343.8,5.33,6.39,0.27,0.18,0.27
HAMILTON,OH,25021,FROZEN PIZZA,30-mars-11,1305.82,5.27,6.13,0.3,0.3,0.1
HAMILTON,OH,25021,FROZEN PIZZA,07-sept-11,998.66,5.34,6.01,0,0,0.55
HAMILTON,OH,25021,FROZEN PIZZA,14-sept-11,1203.61,5.34,6.01,0,0,0.55
HAMILTON,OH,25021,FROZEN PIZZA,21-sept-11,1666.47,5.11,5.72,0.33,0.22,0
HAMILTON,OH,25021,FROZEN PIZZA,28-sept-11,1402.08,4.98,5.65,0.38,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,05-oct-11,1185.85,5.1,5.78,0,0.18,0.09
HAMILTON,OH,25021,FROZEN PIZZA,12-oct-11,1279.31,5.07,5.75,0.27,0.27,0
HAMILTON,OH,25021,FROZEN PIZZA,19-oct-11,739.02,5.83,5.83,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,26-oct-11,742.15,5.21,5.21,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,02-nov-11,810.53,5.54,5.54,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,09-nov-11,1194.08,5.37,5.97,0.25,0.08,0
HAMILTON,OH,25021,FROZEN PIZZA,16-nov-11,1221.45,5.02,5.78,0.3,0.1,0
HAMILTON,OH,25021,FROZEN PIZZA,23-nov-11,1370.31,5.3,5.4,0.33,0.33,0
HAMILTON,OH,25021,FROZEN PIZZA,30-nov-11,1125.99,5.33,5.42,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,04-janv-12,2004.32,4.5,5.68,1,0.22,0
HAMILTON,OH,25021,FROZEN PIZZA,01-Apr-09,1198.21,5.01,5.17,0.43,0.43,0
HAMILTON,OH,25021,FROZEN PIZZA,01-Dec-10,1267.25,4.92,5.47,0.38,0.38,0
HAMILTON,OH,25021,FROZEN PIZZA,01-Jul-09,778.97,5.41,5.68,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,01-Jun-11,720.06,5.74,6.23,0,0,0.38
HAMILTON,OH,25021,FROZEN PIZZA,02-Dec-09,1116.94,5.28,6.06,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,02-Feb-11,1221.99,5.53,6.27,0,0.38,0
HAMILTON,OH,25021,FROZEN PIZZA,02-Jun-10,602.26,6.02,6.02,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,03-Aug-11,1152.32,4.99,6.03,0.3,0.2,0.3
HAMILTON,OH,25021,FROZEN PIZZA,03-Feb-10,752.6,6.04,6.04,0,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,03-Jun-09,856.65,5.09,5.36,0.29,0.14,0
HAMILTON,OH,25021,FROZEN PIZZA,04-Aug-10,810.66,5.84,6.1,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,04-Feb-09,986.59,5.32,5.55,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,04-May-11,1592.64,5.29,6.06,0.55,0.27,0
HAMILTON,OH,25021,FROZEN PIZZA,05-Aug-09,623.59,5.94,5.94,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,05-May-10,1059.55,5.62,5.97,0.33,0,0
HAMILTON,OH,25021,FROZEN PIZZA,06-Apr-11,822.12,6.03,6.03,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,06-Jul-11,1843.62,4.5,6.08,0.63,0.38,0.25
HAMILTON,OH,25021,FROZEN PIZZA,06-May-09,1236.55,5.33,5.55,0.33,0.22,0
HAMILTON,OH,25021,FROZEN PIZZA,07-Apr-10,1400.92,5.29,5.99,0.3,0,0.3
HAMILTON,OH,25021,FROZEN PIZZA,07-Dec-11,974.07,5.79,5.79,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,07-Jul-10,785.72,5.87,5.87,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,08-Apr-09,1267.96,5.29,5.45,0.33,0,0
HAMILTON,OH,25021,FROZEN PIZZA,08-Dec-10,1835.16,4.93,5.77,0,0.27,0.18
HAMILTON,OH,25021,FROZEN PIZZA,08-Jul-09,1616.46,4.83,5.7,0.33,0.33,0.44
HAMILTON,OH,25021,FROZEN PIZZA,08-Jun-11,1429.09,5.58,6.24,0.33,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,09-Dec-09,854.94,6.04,6.04,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,09-Feb-11,2159.65,5.68,6.34,0.33,0.33,0
HAMILTON,OH,25021,FROZEN PIZZA,09-Jun-10,806.95,5.97,5.97,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,10-Aug-11,1505.94,5.62,5.88,0.27,0.18,0
HAMILTON,OH,25021,FROZEN PIZZA,10-Feb-10,908.83,5.99,5.99,0,0.13,0
HAMILTON,OH,25021,FROZEN PIZZA,10-Jun-09,842.87,5.42,5.42,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,11-Aug-10,1094.44,5.85,6.09,0,0,0.3
HAMILTON,OH,25021,FROZEN PIZZA,11-Feb-09,1145.55,5.1,5.59,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,11-May-11,1520.77,5.63,6.34,0.27,0.27,0.09
HAMILTON,OH,25021,FROZEN PIZZA,12-Aug-09,704.99,5.94,5.94,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,12-May-10,1071.86,5.75,6.07,0,0.09,0.18
HAMILTON,OH,25021,FROZEN PIZZA,13-Apr-11,780.7,5.96,5.96,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,13-Jul-11,1585.37,5.18,6.13,0.45,0.18,0
HAMILTON,OH,25021,FROZEN PIZZA,13-May-09,1264.23,5.39,5.6,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,14-Apr-10,896.32,5.64,5.97,0,0.1,0.2
HAMILTON,OH,25021,FROZEN PIZZA,14-Dec-11,903.96,5.81,5.81,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,14-Jul-10,1319.98,5.19,5.85,0.3,0.3,0
HAMILTON,OH,25021,FROZEN PIZZA,15-Apr-09,1278.5,5.33,5.56,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,15-Dec-10,1540.01,4.96,5.77,0.55,0,0.18
HAMILTON,OH,25021,FROZEN PIZZA,15-Jul-09,1597.97,4.87,5.71,0.33,0.22,0.33
HAMILTON,OH,25021,FROZEN PIZZA,15-Jun-11,1398.67,5.6,6.22,0.3,0.3,0.3
HAMILTON,OH,25021,FROZEN PIZZA,16-Dec-09,1267.63,5.33,6.03,0.38,0,0
HAMILTON,OH,25021,FROZEN PIZZA,16-Feb-11,1295.13,5.79,6.28,0,0.36,0.18
HAMILTON,OH,25021,FROZEN PIZZA,16-Jun-10,1214.67,5.44,5.96,0.27,0,0
HAMILTON,OH,25021,FROZEN PIZZA,17-Aug-11,1198.96,5.2,5.52,0.33,0.33,0
HAMILTON,OH,25021,FROZEN PIZZA,17-Feb-10,839.72,6.02,6.02,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,17-Jun-09,687.79,5.64,5.64,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,18-Aug-10,1397.92,4.85,6.01,0.43,0,0.43
HAMILTON,OH,25021,FROZEN PIZZA,18-Feb-09,1048.58,5.11,5.6,0,0.22,0.11
HAMILTON,OH,25021,FROZEN PIZZA,18-May-11,1190.11,5.74,6.32,0.25,0.25,0
HAMILTON,OH,25021,FROZEN PIZZA,19-Aug-09,614.91,5.74,5.74,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,19-May-10,703.45,6.04,6.08,0,0,0.09
HAMILTON,OH,25021,FROZEN PIZZA,20-Apr-11,790.47,5.97,5.97,0,0.2,0
HAMILTON,OH,25021,FROZEN PIZZA,20-Jul-11,1009.83,5.41,6.15,0,0.25,0.25
HAMILTON,OH,25021,FROZEN PIZZA,20-May-09,799.49,5.45,5.45,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,21-Apr-10,981.99,5.67,6.02,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,21-Dec-11,873.36,5.49,5.49,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,21-Jul-10,847.45,5.61,5.83,0,0,0.3
HAMILTON,OH,25021,FROZEN PIZZA,22-Apr-09,974.5,5.32,5.57,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,22-Dec-10,1171.5,5.67,5.67,0,0.1,0
HAMILTON,OH,25021,FROZEN PIZZA,22-Jul-09,847.28,5.46,5.89,0,0,0.56
HAMILTON,OH,25021,FROZEN PIZZA,22-Jun-11,841.24,5.82,6.26,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,23-Dec-09,1075.65,5.44,6.07,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,23-Feb-11,1115.22,5.69,6.31,0.33,0.22,0
HAMILTON,OH,25021,FROZEN PIZZA,23-Jun-10,1067.81,5.11,6.09,0.5,0,0
HAMILTON,OH,25021,FROZEN PIZZA,24-Aug-11,838.43,5.75,6.01,0,0,0.27
HAMILTON,OH,25021,FROZEN PIZZA,24-Feb-10,679.01,5.96,5.96,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,24-Jun-09,797.67,5.44,5.52,0,0,0.13
HAMILTON,OH,25021,FROZEN PIZZA,25-Aug-10,1572.67,4.94,6,0.38,0.38,0.38
HAMILTON,OH,25021,FROZEN PIZZA,25-Feb-09,770.06,5.73,5.73,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,25-May-11,718.93,5.6,6.09,0,0,0.38
HAMILTON,OH,25021,FROZEN PIZZA,26-Aug-09,1432.99,5.04,5.74,0.75,0.63,0
HAMILTON,OH,25021,FROZEN PIZZA,26-May-10,627.66,5.95,5.95,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,27-Apr-11,719.32,5.95,5.95,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,27-Jul-11,947.62,5.25,6.15,0.3,0,0.1
HAMILTON,OH,25021,FROZEN PIZZA,27-May-09,888.98,5.33,5.78,0.38,0.13,0.13
HAMILTON,OH,25021,FROZEN PIZZA,28-Apr-10,721.75,6.02,6.02,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,28-Dec-11,851.23,5.45,5.45,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,28-Jul-10,768,5.78,6.04,0,0,0.33
HAMILTON,OH,25021,FROZEN PIZZA,29-Apr-09,946.4,5.33,5.55,0,0.11,0.22
HAMILTON,OH,25021,FROZEN PIZZA,29-Dec-10,1260.67,5.78,5.76,0,0.3,0
HAMILTON,OH,25021,FROZEN PIZZA,29-Jul-09,727.29,5.9,5.99,0,0,0.13
HAMILTON,OH,25021,FROZEN PIZZA,29-Jun-11,1016.46,5.15,6.25,0.3,0,0.3
HAMILTON,OH,25021,FROZEN PIZZA,30-Dec-09,1110.39,5.46,6.07,0.33,0.11,0
HAMILTON,OH,25021,FROZEN PIZZA,30-Jun-10,554.2,5.75,5.75,0,0,0
HAMILTON,OH,25021,FROZEN PIZZA,31-Aug-11,783.47,5.69,5.97,0,0,0.3
